wavelength (nm),0,50,100,150,200,250,300,350,400,450,500,550,600,650,700
466,1.113113,1.11203,1.11502,1.116579,1.119957,1.122109,1.123779,1.123875,1.124132,1.12796,1.128237,1.128483,1.128391,1.129924,1.129407
467,1.110976,1.11193,1.114431,1.116025,1.119789,1.121181,1.122908,1.124074,1.125402,1.126392,1.128453,1.128018,1.126964,1.12845,1.130069
468,1.111563,1.113195,1.115641,1.116442,1.118686,1.120708,1.123126,1.125289,1.126261,1.126912,1.12458,1.127789,1.128363,1.127767,1.130294
469,1.11365,1.11157,1.115176,1.11598,1.120244,1.120373,1.121709,1.124483,1.12683,1.124966,1.127399,1.129058,1.127949,1.127065,1.129999
470,1.113942,1.113458,1.115291,1.116479,1.119859,1.120408,1.123773,1.123176,1.126601,1.126574,1.127535,1.128112,1.128802,1.129652,1.128559
471,1.115351,1.113832,1.11443,1.117515,1.117965,1.121497,1.122504,1.125982,1.125909,1.126981,1.12854,1.128435,1.129025,1.128926,1.128532
472,1.114262,1.115946,1.11581,1.121516,1.121258,1.123255,1.124318,1.125766,1.126454,1.127499,1.129629,1.129734,1.131623,1.131416,1.132431
473,1.115874,1.114444,1.117156,1.119092,1.123138,1.124081,1.123917,1.12734,1.127301,1.128761,1.130284,1.131757,1.133218,1.132443,1.133771
474,1.115579,1.117101,1.117536,1.118571,1.123542,1.123311,1.127993,1.12771,1.129516,1.129441,1.130285,1.132246,1.132923,1.132406,1.131489
475,1.118704,1.118827,1.122156,1.123405,1.124363,1.125222,1.128663,1.127389,1.130388,1.129917,1.133054,1.133355,1.133748,1.134544,1.134328
476,1.117393,1.119664,1.119962,1.121397,1.125445,1.127071,1.127695,1.128225,1.131462,1.13157,1.132965,1.134251,1.133499,1.136168,1.135245
477,1.11935,1.120091,1.123634,1.12252,1.126508,1.127912,1.129659,1.13062,1.133868,1.133049,1.134439,1.133992,1.13488,1.134449,1.136424
478,1.123663,1.122277,1.123574,1.127483,1.127974,1.129311,1.129968,1.132917,1.133293,1.135503,1.136399,1.136951,1.137992,1.139197,1.137164
479,1.123778,1.123026,1.124377,1.125551,1.128119,1.131925,1.130743,1.134141,1.134606,1.137118,1.136544,1.138784,1.139389,1.138378,1.138729
480,1.124339,1.125499,1.126969,1.12772,1.129435,1.131273,1.132789,1.13596,1.135428,1.135489,1.136596,1.138749,1.138003,1.141259,1.138664
481,1.125988,1.125868,1.125938,1.130665,1.131567,1.132751,1.134898,1.137123,1.136907,1.138612,1.139355,1.139504,1.139746,1.139959,1.141024
482,1.128607,1.127921,1.129997,1.130869,1.134286,1.135606,1.13777,1.137958,1.13814,1.140383,1.14052,1.143664,1.142254,1.142658,1.143448
483,1.130121,1.131433,1.132422,1.133399,1.135813,1.136423,1.139006,1.140416,1.140162,1.14227,1.143696,1.14377,1.144258,1.146057,1.145582
484,1.130506,1.131156,1.13153,1.134673,1.138109,1.139471,1.140389,1.142424,1.143138,1.143554,1.143717,1.145666,1.145976,1.145661,1.146396
485,1.131045,1.133353,1.132777,1.136665,1.137693,1.140204,1.140492,1.143295,1.144073,1.145322,1.144588,1.146977,1.147535,1.148439,1.146997
486,1.134236,1.135026,1.134374,1.135365,1.13878,1.140964,1.142304,1.144741,1.144181,1.146441,1.147066,1.14818,1.147594,1.147571,1.147977
487,1.13347,1.133156,1.136867,1.136441,1.140273,1.141929,1.143769,1.143209,1.146813,1.146092,1.146897,1.148557,1.149621,1.147705,1.148901
488,1.135415,1.136567,1.137498,1.139057,1.141065,1.144382,1.144745,1.147024,1.14811,1.15014,1.149501,1.149491,1.149272,1.151812,1.148379
489,1.136843,1.136329,1.138184,1.140674,1.143024,1.144006,1.144026,1.14711,1.147026,1.148501,1.150268,1.149442,1.150969,1.1513,1.150478
490,1.136872,1.137954,1.139637,1.139471,1.144066,1.145417,1.147252,1.149832,1.147903,1.150683,1.150322,1.151619,1.153475,1.153205,1.150833
491,1.139401,1.138062,1.140942,1.142608,1.143743,1.147562,1.147909,1.150558,1.150043,1.151869,1.151095,1.152777,1.152514,1.153265,1.152502
492,1.138922,1.140357,1.140812,1.14326,1.145353,1.147641,1.148894,1.150026,1.151933,1.153071,1.154316,1.154325,1.153883,1.155147,1.152673
493,1.142945,1.140823,1.143335,1.143144,1.145342,1.148641,1.15049,1.151549,1.152415,1.152732,1.153936,1.15571,1.156838,1.155428,1.153881
494,1.141274,1.141705,1.143534,1.145331,1.148721,1.149554,1.149937,1.152657,1.153645,1.154713,1.1559,1.156104,1.155943,1.156134,1.1557
495,1.142715,1.141833,1.143994,1.145188,1.147471,1.150135,1.153124,1.153857,1.154242,1.156249,1.155451,1.158428,1.157549,1.156695,1.156035
496,1.142686,1.141958,1.142301,1.14617,1.148193,1.149393,1.151509,1.152803,1.153719,1.154142,1.157571,1.155779,1.156735,1.155947,1.155863
497,1.145325,1.146828,1.146526,1.147952,1.150729,1.152054,1.15328,1.154938,1.15298,1.156247,1.156498,1.158454,1.158841,1.159366,1.158871
498,1.141778,1.145723,1.144973,1.146671,1.148726,1.152231,1.152554,1.155789,1.155248,1.157146,1.158062,1.158952,1.158229,1.158646,1.157674
499,1.144046,1.144632,1.145352,1.146874,1.150199,1.153234,1.155053,1.156792,1.156776,1.158431,1.158894,1.159112,1.160001,1.159982,1.159716
500,1.143798,1.145324,1.144777,1.148848,1.153179,1.153793,1.153049,1.156165,1.157856,1.156868,1.159885,1.160122,1.159593,1.160608,1.158845
501,1.143633,1.147065,1.14832,1.149723,1.150889,1.153966,1.155057,1.155206,1.157007,1.158018,1.157121,1.159553,1.159672,1.160063,1.160356
502,1.144417,1.1477,1.146537,1.148008,1.152496,1.153049,1.156494,1.156799,1.157015,1.158471,1.159873,1.160457,1.160724,1.161734,1.159866
503,1.146256,1.146437,1.146147,1.148814,1.152803,1.154166,1.155613,1.156504,1.157648,1.158431,1.160976,1.162281,1.159717,1.159519,1.159654
504,1.144399,1.145725,1.145763,1.148803,1.151287,1.153503,1.155321,1.156615,1.15795,1.157052,1.162737,1.161914,1.160417,1.162305,1.159559
505,1.146416,1.145377,1.147865,1.148971,1.151864,1.154945,1.154927,1.153683,1.158489,1.156796,1.159205,1.16039,1.16032,1.161032,1.159507
506,1.145392,1.14289,1.149023,1.147852,1.150228,1.153942,1.155235,1.157106,1.155231,1.156569,1.160936,1.161486,1.161155,1.159638,1.1587
507,1.144991,1.145027,1.14579,1.148702,1.151736,1.153777,1.15496,1.154782,1.156139,1.157009,1.158792,1.160062,1.161054,1.159435,1.160497
508,1.143521,1.145668,1.146588,1.148234,1.150427,1.154075,1.155268,1.154318,1.156155,1.158923,1.15943,1.159573,1.160009,1.159925,1.158775
509,1.144071,1.14279,1.146792,1.147359,1.152388,1.153393,1.153668,1.155055,1.157974,1.157702,1.160545,1.161689,1.16121,1.161598,1.157214
510,1.142711,1.1428,1.143754,1.14901,1.151049,1.150996,1.153342,1.15497,1.153699,1.15669,1.158077,1.158131,1.15872,1.157292,1.157663
511,1.141149,1.142621,1.145023,1.145569,1.150857,1.152506,1.153358,1.154333,1.154835,1.15792,1.157569,1.158081,1.157954,1.157945,1.157179
512,1.140568,1.141314,1.14417,1.144274,1.14615,1.15009,1.151753,1.15344,1.155606,1.155012,1.156703,1.157414,1.158096,1.157734,1.156201
513,1.141517,1.140647,1.143788,1.144618,1.147968,1.14934,1.151564,1.153206,1.15382,1.153687,1.155766,1.158171,1.156536,1.15795,1.154893
514,1.138534,1.139806,1.143258,1.143993,1.148455,1.150766,1.153509,1.15392,1.154269,1.154251,1.156493,1.157878,1.158185,1.156883,1.157641
515,1.139063,1.137423,1.140804,1.143746,1.145821,1.148764,1.151144,1.150739,1.151574,1.153006,1.154045,1.155464,1.156811,1.156326,1.154887
516,1.137628,1.137405,1.14018,1.141642,1.145285,1.147773,1.148111,1.151026,1.152555,1.15129,1.151678,1.153666,1.152785,1.156333,1.155159
517,1.135799,1.136652,1.138801,1.140939,1.144268,1.146977,1.150429,1.151856,1.151286,1.152005,1.153608,1.154981,1.15581,1.154235,1.15384
518,1.134051,1.136376,1.138447,1.140408,1.143806,1.144723,1.147608,1.149299,1.151442,1.151954,1.150416,1.152012,1.152431,1.154987,1.154611
519,1.133312,1.13407,1.137225,1.138635,1.142526,1.144233,1.144106,1.147812,1.149386,1.14958,1.1508,1.15106,1.151396,1.153103,1.151153
520,1.132714,1.13117,1.135567,1.136613,1.140273,1.14201,1.144103,1.146356,1.145041,1.148351,1.148189,1.150179,1.149445,1.151188,1.147932
521,1.129712,1.131792,1.134166,1.136267,1.139911,1.142349,1.142871,1.146772,1.146365,1.147434,1.148866,1.149655,1.148555,1.1517,1.149204
522,1.129766,1.130589,1.132647,1.135107,1.140444,1.14007,1.142698,1.143139,1.144363,1.146047,1.146634,1.147857,1.145713,1.149673,1.148831
523,1.127251,1.128452,1.130599,1.132329,1.135478,1.139756,1.14021,1.143087,1.141855,1.143677,1.146735,1.146511,1.148139,1.14739,1.145612
524,1.127185,1.126921,1.127146,1.131587,1.135761,1.136251,1.139521,1.141554,1.143131,1.142336,1.143842,1.145086,1.145001,1.148314,1.143265
525,1.125452,1.127784,1.128163,1.129856,1.134892,1.134872,1.137693,1.138412,1.141121,1.1437,1.142907,1.146066,1.145486,1.146194,1.14451
526,1.12494,1.124412,1.124654,1.130032,1.132168,1.133859,1.135072,1.138272,1.138756,1.141662,1.142276,1.141803,1.142337,1.143917,1.142962
527,1.121081,1.12262,1.124901,1.12692,1.130518,1.131981,1.135869,1.135774,1.138636,1.138958,1.140507,1.142159,1.142312,1.14232,1.140994
528,1.119452,1.122272,1.12364,1.124183,1.12803,1.132772,1.133615,1.135679,1.136515,1.137038,1.141589,1.141474,1.139692,1.143174,1.141347
529,1.118575,1.117969,1.121525,1.125233,1.128846,1.130914,1.133943,1.134074,1.136233,1.135104,1.137011,1.138011,1.140482,1.138692,1.139044
530,1.118005,1.118201,1.12236,1.123663,1.126891,1.12983,1.130424,1.133012,1.133156,1.13452,1.136331,1.138138,1.142159,1.139444,1.138176
531,1.115137,1.11469,1.118184,1.121483,1.125111,1.125254,1.129264,1.131443,1.133226,1.134739,1.134485,1.138768,1.136943,1.1364,1.135698
532,1.114224,1.115268,1.116432,1.119796,1.125701,1.126354,1.130065,1.128425,1.133586,1.132785,1.135463,1.134465,1.136191,1.135755,1.137791
533,1.113458,1.115975,1.116319,1.118659,1.12339,1.126693,1.128735,1.131104,1.128874,1.134498,1.132043,1.135097,1.136354,1.134291,1.135812
534,1.112382,1.113689,1.115869,1.11942,1.121918,1.124434,1.127853,1.128644,1.12848,1.130932,1.131542,1.133414,1.136217,1.135058,1.133793
535,1.109605,1.112694,1.114125,1.116682,1.121796,1.124368,1.12716,1.130763,1.128028,1.129444,1.132537,1.134319,1.134174,1.134364,1.134867
536,1.112713,1.109084,1.11397,1.115799,1.121222,1.122342,1.124883,1.125772,1.129876,1.130368,1.132923,1.134317,1.136275,1.13499,1.131711
537,1.138243,1.137221,1.140633,1.146155,1.149795,1.151745,1.154539,1.157032,1.15801,1.160381,1.161075,1.162521,1.163129,1.165236,1.161647
538,1.137945,1.138533,1.142103,1.145133,1.146817,1.15303,1.154031,1.156094,1.157482,1.160062,1.162433,1.162825,1.162663,1.164084,1.162759
539,1.136439,1.13593,1.140415,1.144706,1.148501,1.151088,1.154123,1.156637,1.158023,1.157212,1.159938,1.162325,1.163599,1.163202,1.163724
540,1.13667,1.135428,1.137965,1.142131,1.146609,1.148818,1.152406,1.155087,1.157526,1.157004,1.159718,1.163084,1.161417,1.163193,1.160525
541,1.132191,1.1329,1.134768,1.139511,1.14387,1.146325,1.148215,1.152416,1.152567,1.153074,1.15556,1.157335,1.158907,1.158965,1.15891
542,1.130632,1.129537,1.134264,1.138036,1.142083,1.145448,1.146448,1.151304,1.150445,1.153865,1.15415,1.155577,1.156824,1.157861,1.156665
543,1.130323,1.128726,1.131992,1.137157,1.140144,1.144313,1.146435,1.1495,1.152114,1.152024,1.154821,1.156328,1.157113,1.159142,1.1556
544,1.129661,1.129014,1.131818,1.135245,1.141486,1.142954,1.147969,1.148931,1.151336,1.152079,1.154,1.156134,1.157279,1.159208,1.154373
545,1.125643,1.126064,1.130239,1.133053,1.137571,1.141686,1.145742,1.146813,1.15,1.150464,1.150865,1.154678,1.154688,1.155527,1.15386
546,1.125146,1.125201,1.128933,1.135312,1.136271,1.140123,1.144267,1.145182,1.146823,1.149199,1.149883,1.153265,1.151414,1.154592,1.152543
547,1.122955,1.123559,1.127887,1.130836,1.136048,1.139582,1.140694,1.144832,1.148442,1.148854,1.149555,1.15278,1.154742,1.152666,1.151395
548,1.122,1.120844,1.125807,1.128809,1.134676,1.137393,1.141559,1.142359,1.145601,1.146893,1.14917,1.150968,1.152102,1.151447,1.151372
549,1.119144,1.12095,1.122963,1.129125,1.134208,1.136343,1.140167,1.144317,1.145731,1.147325,1.146455,1.149961,1.152052,1.150787,1.149339
550,1.119772,1.122067,1.123454,1.128712,1.13232,1.133942,1.13906,1.141562,1.144848,1.146243,1.145842,1.147997,1.150345,1.150515,1.148387
551,1.119416,1.120422,1.122875,1.125512,1.13012,1.13689,1.138714,1.143041,1.144257,1.143813,1.146854,1.149619,1.151429,1.150573,1.148121
552,1.120512,1.118069,1.122024,1.125996,1.133113,1.135957,1.139659,1.140712,1.1423,1.145376,1.145525,1.150048,1.150525,1.152346,1.149576
553,1.115967,1.117094,1.122162,1.126688,1.129659,1.135713,1.139432,1.140261,1.143439,1.145631,1.146343,1.14779,1.147945,1.150964,1.148715
554,1.116393,1.114846,1.118476,1.123986,1.128519,1.134212,1.135903,1.137931,1.141084,1.143473,1.145837,1.147314,1.14625,1.150253,1.146932
555,1.115354,1.115201,1.120016,1.122407,1.129314,1.134132,1.134514,1.137832,1.140495,1.141762,1.146627,1.14658,1.148566,1.148466,1.148199
556,1.111945,1.113299,1.116318,1.121614,1.125852,1.13013,1.135608,1.136198,1.138106,1.140316,1.144682,1.145411,1.146873,1.146078,1.146369
557,1.113457,1.111724,1.116083,1.121031,1.124821,1.131025,1.134922,1.137684,1.13723,1.142047,1.143229,1.146047,1.145651,1.14833,1.147215
558,1.111824,1.113865,1.116715,1.120559,1.125877,1.130383,1.134203,1.137712,1.141837,1.142018,1.143825,1.145742,1.147223,1.146453,1.148219
559,1.115316,1.114779,1.118128,1.122776,1.130175,1.132466,1.135855,1.138989,1.140573,1.14229,1.144995,1.149649,1.14796,1.149733,1.150512
560,1.11555,1.113039,1.117383,1.120811,1.127342,1.133396,1.138006,1.140836,1.143009,1.144124,1.146928,1.148679,1.15164,1.150707,1.149482
561,1.115837,1.114854,1.120183,1.123309,1.128764,1.133885,1.139052,1.139245,1.141807,1.144514,1.146953,1.150776,1.151983,1.153591,1.151796
562,1.117485,1.11542,1.122601,1.125272,1.131297,1.136577,1.140858,1.144249,1.14629,1.146549,1.152082,1.152346,1.154522,1.154401,1.153753
563,1.118644,1.118583,1.12236,1.128319,1.132781,1.134052,1.140681,1.144223,1.146323,1.150473,1.150134,1.153999,1.154237,1.157902,1.154941
564,1.120187,1.116653,1.122831,1.129395,1.132236,1.137848,1.141838,1.144136,1.147091,1.148572,1.152861,1.152842,1.155688,1.157815,1.157036
565,1.119772,1.119408,1.121613,1.126321,1.130112,1.135659,1.141419,1.14262,1.147618,1.150936,1.152487,1.155459,1.158839,1.158118,1.155208
566,1.119135,1.11759,1.121102,1.128495,1.133541,1.137923,1.141949,1.145202,1.14754,1.150325,1.154277,1.155772,1.157622,1.158347,1.157816
567,1.118015,1.118178,1.121779,1.126231,1.132639,1.135889,1.140011,1.146712,1.147228,1.149357,1.152723,1.157744,1.157904,1.159326,1.156802
568,1.117801,1.116398,1.121045,1.12565,1.131639,1.136276,1.141389,1.144123,1.146856,1.150288,1.151613,1.155978,1.156665,1.159739,1.156578
569,1.11457,1.115964,1.120692,1.124058,1.131194,1.137932,1.140748,1.144533,1.14862,1.149628,1.152887,1.156022,1.156333,1.160177,1.157992
570,1.113737,1.113581,1.118343,1.123216,1.130046,1.135715,1.14204,1.144047,1.144371,1.148186,1.151452,1.153635,1.156594,1.159288,1.154405
571,1.109308,1.109485,1.115034,1.119287,1.127201,1.131693,1.136584,1.13985,1.142859,1.146193,1.150558,1.151288,1.152491,1.155873,1.152555
572,1.108208,1.107376,1.113717,1.118298,1.127385,1.131299,1.134851,1.139722,1.141099,1.144766,1.147787,1.149716,1.153075,1.154875,1.153634
573,1.111144,1.108768,1.112499,1.12124,1.125926,1.131662,1.136084,1.140136,1.142693,1.145982,1.147734,1.153015,1.155354,1.157004,1.155182
574,1.110445,1.110504,1.114774,1.120602,1.126908,1.131554,1.137029,1.141133,1.143677,1.146191,1.150371,1.15324,1.156461,1.157863,1.156092
575,1.110798,1.110916,1.115861,1.119633,1.126764,1.134151,1.138207,1.14245,1.144603,1.148575,1.151023,1.154256,1.15702,1.158305,1.157476
576,1.110234,1.108993,1.113441,1.119259,1.125645,1.132549,1.138224,1.142405,1.145413,1.146512,1.151154,1.154148,1.157022,1.158494,1.157838
577,1.110711,1.10858,1.113705,1.120311,1.126278,1.132197,1.135401,1.138467,1.146048,1.14765,1.149967,1.155748,1.158405,1.157643,1.157354
578,1.108936,1.107787,1.113776,1.118334,1.12328,1.131244,1.136467,1.13837,1.143255,1.146811,1.151237,1.153628,1.153808,1.156912,1.157111
579,1.105536,1.103766,1.107463,1.114771,1.122,1.128114,1.133277,1.13716,1.141074,1.144908,1.146748,1.151895,1.15469,1.156041,1.152742
580,1.103668,1.100963,1.105409,1.113007,1.118872,1.123183,1.130078,1.133157,1.136747,1.142775,1.142972,1.148475,1.151788,1.152323,1.152186
581,1.099921,1.097401,1.102836,1.108981,1.115968,1.122781,1.125851,1.130475,1.136316,1.138188,1.142162,1.14481,1.147467,1.150771,1.149954
582,1.095846,1.0956,1.098686,1.106497,1.112623,1.119877,1.124202,1.129844,1.132801,1.135928,1.139295,1.143399,1.147649,1.14784,1.148151
583,1.094795,1.094624,1.099596,1.106069,1.111358,1.118839,1.123283,1.129808,1.131536,1.135195,1.139897,1.142741,1.146077,1.147454,1.146655
584,1.094429,1.092094,1.097416,1.102737,1.110585,1.117113,1.121748,1.126131,1.129014,1.131454,1.136908,1.14118,1.143478,1.146163,1.14491
585,1.09065,1.088973,1.095596,1.100249,1.105951,1.114549,1.11952,1.123412,1.126357,1.131853,1.136348,1.138878,1.143559,1.143677,1.142979
586,1.087101,1.08579,1.091591,1.098702,1.104417,1.110201,1.11597,1.12215,1.125149,1.127545,1.133639,1.136605,1.138541,1.141191,1.141493
587,1.086466,1.085703,1.090186,1.095886,1.103402,1.110518,1.113769,1.118742,1.124143,1.126533,1.130204,1.133409,1.137156,1.139304,1.138122
588,1.082649,1.080654,1.085874,1.092244,1.099273,1.10728,1.110892,1.115353,1.119197,1.122759,1.128167,1.130752,1.133828,1.137625,1.134684
589,1.079093,1.078508,1.082623,1.088609,1.095752,1.10081,1.106676,1.113468,1.116295,1.120451,1.12366,1.128158,1.131892,1.132822,1.135176
590,1.075311,1.07504,1.079625,1.085277,1.09291,1.098638,1.104543,1.110498,1.113521,1.117622,1.121196,1.124104,1.128454,1.128923,1.128834
591,1.072626,1.06961,1.075802,1.081298,1.088158,1.094536,1.099901,1.10439,1.108693,1.111911,1.115804,1.121153,1.124594,1.125767,1.125826
592,1.065971,1.066052,1.07207,1.077133,1.083981,1.091432,1.094842,1.101681,1.104083,1.109606,1.112075,1.117072,1.118472,1.121526,1.122327
593,1.063776,1.061643,1.067191,1.071898,1.079555,1.084951,1.091574,1.094967,1.101079,1.105613,1.10903,1.111707,1.11586,1.118216,1.118544
594,1.058378,1.059279,1.062622,1.070228,1.075224,1.085308,1.086357,1.091555,1.098904,1.101354,1.104635,1.108522,1.112452,1.114256,1.116296
595,1.054987,1.055469,1.059415,1.065199,1.071111,1.07868,1.085226,1.090091,1.093669,1.09828,1.100611,1.105427,1.110155,1.110072,1.111523
596,1.052862,1.052019,1.057478,1.062495,1.066886,1.075323,1.080864,1.085411,1.090793,1.09635,1.09813,1.102311,1.107247,1.108885,1.108821
597,1.050693,1.049129,1.054849,1.061515,1.068213,1.072322,1.079942,1.083339,1.087802,1.092643,1.096917,1.101768,1.105654,1.10733,1.108971
598,1.046332,1.04853,1.052029,1.058015,1.063409,1.070349,1.076896,1.080757,1.085398,1.089798,1.093271,1.097462,1.10022,1.103713,1.102997
599,1.044819,1.046392,1.049536,1.055177,1.061231,1.06565,1.074032,1.078816,1.081515,1.086382,1.090303,1.096567,1.099103,1.100719,1.101174
600,1.040932,1.041726,1.045033,1.051323,1.056335,1.065229,1.069178,1.073611,1.079633,1.082161,1.088298,1.092589,1.096308,1.098031,1.098175
601,1.039887,1.040167,1.045132,1.049058,1.057124,1.064204,1.068224,1.071552,1.078414,1.081588,1.086564,1.091033,1.095561,1.09835,1.09504
602,1.037652,1.037762,1.041993,1.04749,1.053686,1.062082,1.065384,1.069437,1.075868,1.081177,1.084031,1.089768,1.091926,1.092286,1.095255
603,1.037855,1.034674,1.040558,1.044545,1.051073,1.05616,1.063864,1.068724,1.072209,1.077017,1.080567,1.085352,1.088535,1.092681,1.092555
604,1.033895,1.031624,1.037764,1.042876,1.048989,1.052336,1.060201,1.065982,1.069878,1.074401,1.076968,1.084021,1.086931,1.089835,1.089054
605,1.031689,1.030838,1.036527,1.040687,1.046695,1.051933,1.058485,1.062917,1.067021,1.073412,1.076596,1.080549,1.086852,1.086977,1.089357
606,1.027603,1.025641,1.031025,1.036356,1.040998,1.050364,1.05437,1.060312,1.06528,1.066807,1.071812,1.07703,1.080161,1.083392,1.085665
607,1.022843,1.021946,1.025173,1.030655,1.037741,1.046012,1.047944,1.055059,1.059895,1.064372,1.069042,1.072942,1.075721,1.078871,1.08265
608,1.018805,1.018201,1.022344,1.028646,1.033542,1.041414,1.044613,1.051753,1.055186,1.060001,1.065597,1.067076,1.073514,1.073676,1.077257
609,1.017257,1.015339,1.019035,1.02536,1.031869,1.036565,1.04171,1.046121,1.051878,1.056247,1.061105,1.064346,1.070741,1.07226,1.073805
610,1.012929,1.012387,1.015816,1.02101,1.027007,1.033735,1.038496,1.043844,1.047672,1.052451,1.057533,1.060081,1.063878,1.069553,1.069787
611,1.01059,1.006878,1.011058,1.016008,1.022295,1.028428,1.032937,1.039064,1.043714,1.047615,1.054776,1.057052,1.062325,1.063635,1.066831
612,1.005455,1.002738,1.007924,1.01204,1.018356,1.024447,1.029328,1.035912,1.038951,1.044631,1.049532,1.054463,1.058065,1.059925,1.060479
613,0.998577,0.999144,1.003318,1.007228,1.01435,1.019594,1.025822,1.028631,1.035811,1.040888,1.042336,1.049182,1.054497,1.052873,1.057714
614,0.995307,0.994606,0.997363,1.003992,1.009326,1.016955,1.019957,1.025114,1.030049,1.036474,1.040017,1.045382,1.047625,1.050046,1.052972
615,0.989187,0.989625,0.994725,0.99941,1.004875,1.012394,1.016502,1.020633,1.027325,1.031429,1.036352,1.041914,1.042322,1.046284,1.050471
616,0.987746,0.983122,0.988581,0.993196,0.999014,1.004871,1.009657,1.014612,1.021364,1.02593,1.030921,1.03477,1.03962,1.039233,1.042513
617,0.982891,0.981377,0.984129,0.988438,0.994506,0.999868,1.006931,1.01098,1.017467,1.020215,1.0238,1.031011,1.03461,1.036916,1.04037
618,0.979053,0.97762,0.980311,0.984948,0.99035,0.995427,1.002047,1.007586,1.011608,1.01528,1.019764,1.025499,1.029141,1.03088,1.035545
619,0.974872,0.972846,0.978218,0.98124,0.987955,0.993825,0.998649,1.003839,1.008825,1.013215,1.016648,1.02071,1.027364,1.029356,1.03159
620,0.972796,0.971633,0.973902,0.980487,0.983972,0.989534,0.994844,1.000042,1.006192,1.010411,1.01494,1.017962,1.0218,1.024931,1.029738
621,0.968666,0.967709,0.971275,0.974275,0.979069,0.985904,0.991676,0.995642,1.001234,1.006041,1.009118,1.013807,1.018836,1.02054,1.022961
622,0.966467,0.964482,0.968938,0.973501,0.977873,0.983245,0.988334,0.994054,0.997152,1.00233,1.005123,1.012862,1.015188,1.017846,1.021213
623,0.966116,0.96074,0.965319,0.970121,0.976128,0.981747,0.984842,0.990023,0.994963,0.998789,1.003816,1.009907,1.010752,1.01606,1.01938
624,0.960384,0.958118,0.960294,0.966478,0.969279,0.975749,0.982336,0.985935,0.989904,0.993166,0.999906,1.003807,1.007539,1.01163,1.014477
625,0.959261,0.954672,0.956766,0.962591,0.967753,0.973521,0.976621,0.982864,0.986686,0.991282,0.996781,1.002357,1.007073,1.005961,1.011934
626,0.953951,0.950543,0.954608,0.959841,0.964572,0.96933,0.974437,0.978871,0.983719,0.98712,0.991549,0.997139,1.00175,1.004915,1.009853
627,0.950809,0.949229,0.952133,0.953824,0.960387,0.964864,0.967729,0.974456,0.978673,0.984002,0.988685,0.99309,0.997141,1.00151,1.002207
628,0.947046,0.945486,0.94957,0.952896,0.955479,0.962062,0.966402,0.970139,0.974511,0.980218,0.983485,0.989144,0.995485,0.996949,0.998178
629,0.943736,0.940079,0.943784,0.949102,0.951311,0.957752,0.962565,0.964709,0.971108,0.97528,0.980123,0.984266,0.989002,0.993314,0.99452
630,0.936867,0.936585,0.940188,0.94259,0.945891,0.952789,0.956412,0.960967,0.965569,0.970867,0.97487,0.978924,0.981035,0.985208,0.991891
631,0.934612,0.93285,0.935767,0.939986,0.943357,0.948538,0.953234,0.958822,0.962638,0.966012,0.971227,0.976363,0.980477,0.98314,0.988217
632,0.933619,0.929874,0.932192,0.936169,0.939327,0.944132,0.947706,0.953324,0.959154,0.962299,0.966157,0.971319,0.974033,0.976968,0.98345
